substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
"Reaction products of 1H-Imidazole-1-ethanol, 4,5-dihydro-, 2-(C7 odd-numbered alkyl) derivs. and sodium hydroxide and chloroacetic acid",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Azolidines,Imidazolines,medium,NA,NA,FALSE,FALSE
CHEMICAL 10057033,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C9-11-branched, lead salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic metal salts,medium,NA,NA,FALSE,FALSE
"alkyl(rapeseed oil), bis(2-hydroxyethyl)ammonium fluoride",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Quaternary ammonium salts,medium,NA,NA,FALSE,FALSE
delta-endotoxin of Bacillus thuringiensis,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
condensation product of cinnamic aldehyde and hexamethylenediamine,TRUE,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamaldehydes,Cinnamaldehydes,medium,NA,NA,FALSE,FALSE
Pentasodium 2-(bis{halo-[(halo- sulfonatoaryl)diazenyl]-2-(sulfonatoalkoxy)anilino}-triazin-ylamino)alkanesulfonate,TRUE,Organic compounds,Hydrocarbon derivatives,Organonitrogen compounds,Azo compounds,Azobenzenes,medium,NA,NA,FALSE,FALSE
"(R)-5-(2-((2-(2-ethoxyphenoxy)ethyl)amino)propyl)-2-methoxybenzenesulfonamide (7,7-dimethyl-2-oxobicyclo[2.2.1]heptan-1-yl)methanesulfonate",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organic sulfonic acids and derivatives,Organic salts,medium,NA,NA,FALSE,FALSE
"Naphthalenesulfonic acid, dinonyl-, lead(2+) salt",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,Organic metal salts,medium,NA,NA,FALSE,FALSE
"Acetamide, N-(2,4-dinitrophenyl)-, reaction products with 1-methyl-2,4-dinitrobenzene and sodium sulfide (Na2(Sx)), leuco derivatives",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitroaromatic compounds,Nitroaromatic compounds,low,NA,NA,FALSE,FALSE
