substance_name,entity_type,matchable,is_group,equivalent_node,equivalent_level,relationship_type,confidence,emb_match,emb_score,emb_agrees
"Barium oxide (BaO), solid soln. with calcium oxide, magnesium oxide, phosphorus oxide (P2O5), strontium oxide and zinc oxide, copper-doped",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"Molybdic acid, compounds with di-tridecylamine (1:1), branched",Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"sodium perborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 μm]",Analytical parameter,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"4-Nonylphenol, branched, ethoxylated",CAS without structure,TRUE,TRUE,Phenol ethers,class,subset,medium,NA,NA,FALSE
oleum ... % SO3,Unclassified,TRUE,TRUE,Inorganic sulfides,class,broader,low,NA,NA,FALSE
"1,1'-(dodecylimino)dipropan-2-ol + 1,1'-(tetradecylimino)dipropan-2-ol",Unclassified,TRUE,TRUE,Secondary alcohols,subclass,subset,low,NA,NA,FALSE
"Thiocyanic acid, (1,3,8,10-tetrahydro-1,3,8,10-tetraoxoanthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-2,9-diyl)di-3,1-phenylene ester, reaction products with sodium sulfide (Na2(Sx))",CAS without structure,TRUE,TRUE,Organic salts,superclass,broader,low,NA,NA,FALSE
"Fatty acids, C18, unsatd., dimers, reaction products with N,N-dimethyl-1,3-propanediamine and 1,3-propanediamine",CAS without structure,TRUE,TRUE,Fatty amides,subclass,subset,low,NA,NA,FALSE
"quaternary ammonium compounds, benzyl(hydrogenated tallow alkyl)dimethyl, chlorides, compounds with bentonite",CAS without structure,TRUE,TRUE,Alkyldimethylbenzylammonium chlorides,subclass,subset,medium,NA,NA,FALSE
N-[2-(imidazol-2-yl)ethyl]-(S)-pyrrolidine-2-carboxamide dihydrochloride,Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
2-TPV,Unclassified,TRUE,FALSE,NA,NA,NA,low,NA,NA,FALSE
salts of aconitine,Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"O,O,O',O'-tetraoctyl-(branched and linear) S,S'-{methylenebis[imino(3-oxopropane-3,1-diyl)]} bis(phosphorothioate)",Unclassified,TRUE,NA,NA,NA,NA,low,NA,NA,FALSE
"Fatty acids, C4-20-branched, lead salts",CAS without structure,TRUE,TRUE,Organic lead salts,subclass,subset,medium,NA,NA,FALSE
poppy-seed oil fatty acids,Unclassified,TRUE,TRUE,Fatty acids and conjugates,subclass,subset,high,NA,NA,FALSE
"(R, S)-2-Amino-3,3-dimethylbutane amide",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"N-isopropyl-N,N-dimethylpropan-2-aminium 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
"1,3-bis(4-benzoyl-3-hydroxyphenoxy)prop-2-yl methacrylate",Unclassified,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
Sodium hexahydroxoantimonate,CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
disproportionated rosin,Unclassified,TRUE,FALSE,NA,NA,NA,medium,NA,NA,FALSE
"Benzenemethanol, lithium salt",CAS without structure,TRUE,FALSE,NA,NA,NA,high,NA,NA,FALSE
