kingdom,superclass,class,subclass,direct_parent,reasoning,confidence,substance_name,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Organic alkali metal salts,"Disodium succinate is the disodium salt of succinic acid (a dicarboxylic acid), where both carboxylic acid protons are replaced by sodium ions, making it an organic alkali metal salt. It falls under organic acids and derivatives as a carboxylate salt of a dicarboxylic acid.",high,Disodium succinate,310,0,16760,136
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Acyl halides,Acyl chlorides,"Dimethylcarbamoyl chloride is an acyl chloride where the carbonyl group bears a dimethylamino substituent, making it a carbamic acid derivative with an acyl chloride functional group. It fits squarely under acyl halides > acyl chlorides in the ChemOnt hierarchy.",high,dimethylcarbamoyl chloride,313,0,16760,127
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acid anhydrides,"Acetic anhydride (CH3CO-O-COCH3) is the anhydride of acetic acid, formed by the condensation of two acetic acid molecules with loss of water, making it a carboxylic acid anhydride. However, since 'Carboxylic acid anhydrides' does not appear explicitly in the provided list, the closest available direct parent is null; the best match within the listed terms is 'Carboxylic acid derivatives' under carboxylic acids and derivatives.",medium,Acetic anhydride,310,0,16760,190
Organic compounds,Phenylpropanoids and polyketides,Cinnamaldehydes,Cinnamaldehydes,Cinnamaldehydes,"(2E)-3-Phenylacrylaldehyde is cinnamaldehyde, the trans-isomer of 3-phenylpropenal, which is the defining member of the cinnamaldehydes class — a phenylpropanoid with an aldehyde functional group at the C1 position and a trans double bond.",high,(2E)-3-Phenylacrylaldehyde,318,0,16760,172
Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,NA,Trialkyl phosphites,"This compound is a spiro-bicyclic phosphite ester containing two phosphorus atoms each bonded to three oxygen atoms (trivalent phosphite linkages), with 2,4-di-tert-butylphenoxy groups attached. It is best classified as a trialkyl phosphite (phosphorous acid triester) within organophosphorus compounds.",medium,"3,9-bis(2,4-di-tert-butylphenoxy)-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane",355,0,16760,161
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids,"Trimellitic acid (benzene-1,2,4-tricarboxylic acid) is an aromatic compound with a benzene ring bearing three carboxylic acid groups, making it a substituted benzoic acid and benzenoid compound. It falls under benzoic acids as the direct parent since it is a polycarboxylic aromatic acid with a benzene core.",high,trimellitic acid,308,0,16760,142
Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,Transition metal chlorides,Transition metal chlorides,"Iron dichloride (FeCl2) is an inorganic salt formed from iron (a transition metal) and chloride ions, classifying it as a transition metal chloride.",high,Iron dichloride,308,0,16760,109
Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,"Aluminium sodium dioxide (NaAlO2, sodium aluminate) is an inorganic compound containing both a metal (sodium, aluminium) and a non-metal (oxygen) component, forming an aluminate salt. It fits best under mixed metal/non-metal compounds, specifically as a miscellaneous mixed metal/non-metal since no more specific label for aluminates involving both alkali metals and post-transition metals exists in the taxonomy.",medium,Aluminium sodium dioxide,309,0,16760,188
Organic compounds,Organosulfur compounds,Organic sulfonic acids and derivatives,Sulfonic acids and derivatives,Naphthalene sulfonic acids and derivatives,"This substance is a trisodium salt of a naphthalene trisulfonic acid derivative bearing an azo group, a triazine ring with a vinyl sulfone-containing side chain, and a ureido group. The core scaffold is a naphthalene with three sulfonate groups, making naphthalene sulfonic acids and derivatives the most specific applicable direct parent.",medium,"trisodium 7-(4-(6-fluoro-4-(2-(2-vinylsulphonylethoxy)ethylamino)-1,3,5-triazin-2-ylamino)-2-ureidophenylazo)naphthalene-1,3,6- trisulphonate",380,0,16760,173
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amides,Chloroacetamides,"Allidochlor (N,N-diallylchloroacetamide) is an organic compound featuring a chloroacetamide functional group — a chlorine-substituted acetamide — with two allyl groups on the nitrogen. This places it squarely in the chloroacetamides direct parent category.",high,"allidochlor (ISO); N,N-diallylchloroacetamide",325,0,16760,136
NA,NA,NA,NA,NA,API error: list index out of range,low,"(3aS,4R,5S,6S,8R,9R,9aR,10R)-6-ethenyl-5-hydroxy-4,6,9,10-tetramethyl-1-oxodecahydro-3a,9-propanocyclopenta[8]annulen-8-yl[(methylsulfonyl)oxy]acetate",397,0,16760,1
Organic compounds,Organoheterocyclic compounds,NA,NA,Organoboron compounds,"Diethyl ether-boron trifluoride (BF3·OEt2) is a Lewis acid-base complex where boron trifluoride coordinates with diethyl ether. It contains a boron atom bonded to organic/heteroatom groups, classifying it as an organoboron compound; however, it also contains fluorine and is technically a coordination complex that doesn't fit neatly into the taxonomy.",low,Diethyl ether-boron trifluoride,318,0,16760,159
Organic compounds,Organometallic compounds,Metalloheterocyclic compounds,NA,Organoheterosilanes,"Ethane-1,2-diylbis[dichloromethylsilane] is an organosilicon compound containing silicon atoms bonded to both carbon (organic) and chlorine substituents, making it an organochlorosilane/organoheterosilane. It has two dichloromethylsilyl groups connected by an ethylene bridge.",medium,"Ethane-1,2-diylbis[dichloromethylsilane]",325,0,16760,147
Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,"This substance is a copper(II) complex with a Schiff base ligand formed from salicylaldehyde and ethylenediamine ([2,2'-ethylenebis(nitrilomethylidene)diphenolato]), where the copper metal is coordinated through nitrogen and oxygen donor atoms of the organic ligand, making it an organotransition metal compound. The ligand contains imine (azomethine) linkages and phenolate groups chelating the transition metal copper.",medium,"[2,2'-Ethylenebis(nitrilomethylidene)diphenolato]copper (II)",331,0,16760,193
Organic compounds,Organic oxygen compounds,Organic peroxides,Dialkyl peroxides,Dialkyl peroxides,"Dicumyl peroxide is a dialkyl peroxide (bis(1-methyl-1-phenylethyl) peroxide) containing a peroxide linkage (-O-O-) between two cumyl (α-methylbenzyl) groups, classifying it as a dialkyl peroxide under organic peroxides.",high,dicumyl peroxide,309,0,16760,130
Organic compounds,Organohalogen compounds,Organobromides,Alpha-halocarboxylic acid derivatives,Alpha-halocarboxylic acid derivatives,"Ethyl bromoacetate (BrCH2COOC2H5) is an ester of bromoacetic acid, where the bromine is on the alpha-carbon relative to the carboxyl group, making it an alpha-halocarboxylic acid derivative; it is also an organobromide.",high,Ethyl bromoacetate,311,16760,0,136
Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,p-Phthalate esters,"Benzyl butyl phthalate is a diester of phthalic acid (1,2-benzenedicarboxylic acid) with one benzyl and one butyl ester group, making it a phthalate ester. Phthalate esters derived from the para isomer designation in ChemOnt maps to p-Phthalate esters, though structurally this is an ortho-phthalate; the closest available label is p-Phthalate esters under benzoic acids and derivatives.",medium,Benzyl butyl phthalate,313,0,16760,184
Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitriles,Nitriles,"Stearonitrile (octadecanenitrile) is a long-chain aliphatic nitrile derived from stearic acid, containing an 18-carbon chain with a terminal cyano (-C≡N) group, classifying it as an organic nitrile compound.",high,Stearonitrile,310,0,16760,115
Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid esters,Carboxylic acid esters,"2-(3-oxazolidinyl)ethyl methacrylate is an ester of methacrylic acid with a 2-(oxazolidin-3-yl)ethanol, making it primarily a carboxylic acid ester. The oxazolidine ring (a saturated 1,3-oxazole) is a secondary feature but carboxylic acid ester is the most specific matching direct parent in the ChemOnt list.",medium,2-(3-oxazolidinyl)ethyl methacrylate,322,0,16760,198
